run_number,time_ms
0,1944.846
1,1936.407
2,1946.850
3,1987.182
4,1931.872
5,1913.370
6,1911.006
7,1907.261
8,1922.376
9,1935.276
10,1941.263
11,1929.335
12,1911.154
13,1919.619
14,1914.178
15,1919.592
16,1914.225
17,1933.969
18,1909.961
19,1917.901
20,1919.020
21,1913.624
22,1916.689
23,1917.071
24,1916.897
25,1948.352
26,1918.047
27,1917.072
28,1917.598
29,1912.502
